Country,State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Number Of Persons Killed In Road Accident (UOM:Number),Number Of Grievously Injured Persons (UOM:Number),Number Of Minor Injured Persons (UOM:Number),Number Of Total Injured Persons (UOM:Number)
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Hail/Sleet,0,0,0,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Others,27,2,0,25,25
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Rainy,5,1,0,4,4
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Sunny/Clear,243,42,0,246,246
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Foggy & Misty,0,0,0,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Hail/Sleet,0,0,0,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Others,35,0,0,36,36
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Rainy,9,1,0,9,9
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Sunny/Clear,287,39,3,299,302
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Foggy & Misty,9,4,5,3,8
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Hail/Sleet,1,2,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Others,35,18,14,10,24
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Rainy,109,93,18,13,31
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Sunny/Clear,17,10,9,3,12
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Foggy & Misty,46,22,18,10,28
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Hail/Sleet,0,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Others,44,23,32,4,36
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Rainy,49,22,22,8,30
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Sunny/Clear,52,25,28,7,35
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Foggy & Misty,9,3,5,3,8
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Hail/Sleet,8,1,2,4,6
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Others,45,29,18,7,25
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Rainy,74,31,40,8,48
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Sunny/Clear,28,19,7,4,11
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Foggy & Misty,30,12,18,3,21
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Hail/Sleet,0,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Others,9,4,8,2,10
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Rainy,36,14,23,4,27
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Sunny/Clear,44,17,27,6,33
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Foggy & Misty,8,5,3,3,6
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Hail/Sleet,4,3,1,6,7
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Others,39,39,18,4,22
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Rainy,91,46,59,7,66
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Sunny/Clear,45,30,5,2,7
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Foggy & Misty,18,3,20,2,22
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Hail/Sleet,0,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Others,20,12,15,2,17
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Rainy,43,15,35,2,37
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Sunny/Clear,71,35,56,2,58
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Foggy & Misty,73,9,51,21,72
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Hail/Sleet,0,0,0,0,0
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Others,0,0,0,0,0
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Rainy,90,10,44,41,85
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Sunny/Clear,4521,749,2393,1700,4093
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Foggy & Misty,104,29,66,13,79
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Hail/Sleet,0,0,0,0,0
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Others,0,0,0,0,0
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Rainy,115,30,46,37,83
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Sunny/Clear,3014,587,1595,994,2589
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Foggy & Misty,77,17,55,16,71
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Hail/Sleet,0,0,0,0,0
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Others,0,0,0,0,0
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Rainy,117,26,79,36,115
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Sunny/Clear,3019,611,1803,831,2634
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Foggy & Misty,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Rainy,181,16,112,91,203
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Sunny/Clear,476,66,293,315,608
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Foggy & Misty,120,21,81,24,105
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Rainy,120,28,82,38,120
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Sunny/Clear,1357,130,989,383,1372
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Foggy & Misty,43,5,32,8,40
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Others,84,10,59,15,74
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Rainy,28,5,16,8,24
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Sunny/Clear,2135,135,1590,526,2116
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Foggy & Misty,47,10,38,5,43
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Others,370,52,330,46,376
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Rainy,52,3,44,7,51
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Sunny/Clear,1471,160,1314,197,1511
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Foggy & Misty,72,10,56,16,72
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Others,318,61,248,91,339
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Rainy,125,17,83,44,127
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Sunny/Clear,2047,276,1668,620,2288
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Foggy & Misty,23,5,18,8,26
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Rainy,169,28,143,29,172
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Sunny/Clear,1803,172,1601,385,1986
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Foggy & Misty,161,21,115,82,197
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Rainy,211,23,159,71,230
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Sunny/Clear,1838,169,1362,702,2064
