State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Rainy,17,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Sunny/Clear,321,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Foggy & Misty,11,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Hail/Sleet,0,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Others,304,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Rainy,32,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Sunny/Clear,357,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2021",Vadodara,Foggy & Misty,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2021",Vadodara,Hail/Sleet,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2021",Vadodara,Others,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2021",Vadodara,Rainy,25,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2021",Vadodara,Sunny/Clear,439,22.299405,73.208119
Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Foggy & Misty,57,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Hail/Sleet,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Others,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Rainy,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Sunny/Clear,632,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Foggy & Misty,54,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Hail/Sleet,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Others,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Rainy,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Sunny/Clear,435,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Foggy & Misty,48,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Hail/Sleet,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Others,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Rainy,0,28.411236,77.313162
Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Sunny/Clear,457,28.411236,77.313162
Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Foggy & Misty,0,34.085652,74.805553
